电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
窃听风暴,9.1,390348,饰演魏斯乐入木三分的名演员穆荷自己，在两德统一后去察看自己的“忠诚资料”，发现有长达六年的时间，每天向秘密警察报告他的言行举止的，正是他自己的妻子。,我们总是歌颂从未发生过的事。,国安局血的教训：千万别请文艺青年做秘密警察～,2006年最佳奥斯卡外语提名。用自己的后半生成全了理想，沉默又坚定的男人，最后只得到“献给好人的奏鸣曲”。有时选择坚持自己的路，是用幸福去交换的。,两条线，两个男人，两个故事，两个互相打捞的故事。丢了一个，彼此的人生都会沉入海底。当剧作家在街头，看到行走在人行道上的特工时，他本可以上前喊住他的。但是终于是没有。就像哈代所言，呼唤的人与被呼唤的很少能互相答应。他们最终选择了沉默地相互记录。
触不可及,9.2,671746,音乐真棒，看到最后有些意犹未尽。很舒服的电影，故事有趣又会带些感动。两个完全不同世界的人，因为教育、知识、习惯等各种不同造成情节冲突及笑料；而彼此的影响和同化则是感动的部分。对于菲利普来说，有时需要的未必是小心翼翼的服侍，而是像对待普通人一样的无歧视对待。,轻松诙谐，很有趣的搭档故事。但叙事浮于表面，人物塑造脸谱化，故事缺乏真实感（尽管是据真事改编）。弗朗索瓦·克鲁塞和奥玛·赛的表演动人，但受剧本限制人物缺乏层次。过分中正的温情。3.5星。,我想每个人都至少有这么一个挚友，你和他/她在人生的拐点遇到，惊叹于彼此的不同或者相似，有过不少平淡无奇却值得纪念的时光，ta会将心比心，为你的哀伤扼腕，为你的快慰击节，更会在ta的心里，为你留下那么一块永恒的位置，任白云苍狗，风云变幻。,开怀大笑一整场，最后却蓦然飙泪。身份、地位、财富、性格、教养、爱好、年龄，各方面皆如此悬殊的两人，磁场却契合完美。无论爱情友情，所谓好的、有爱的关系，是两个人都在关系里感到开心融合、自由释放、并因而成长。什么是灵魂伴侣？这，就是传说中的，灵魂伴侣。,对残障人士最大的尊重，就是不要把他们当做残障人士。尊重比爱和同情心更高等级
萤火之森,8.8,322002,郁闷死了守着一颗白白嫩嫩的大白菜多少年细心栽培没舍得吃，最后这颗大白菜被猪给拱了的感觉(☍﹏⁰),我说………………既然树枝和毛巾可以，那么手套也不会有问题吧…………所以婚姻幸福就指望保险套了……………………………………………………………………,妖怪有颜就是治愈片妖怪没有颜就是恐怖片,永远不会忘记的拥抱，是你让我曾有过怎样也不想结束夏天,时间停止在阿金消失的那个夏天，一生一次的拥抱放在回忆里不会变老。
功夫,8.5,610180,超级耐看和严重被低估的电影，看十来遍了越看越好看，我想100年后还是有很多人爱看它。,不要说烂，其实很卡通很cult,周星驰形式上的巅峰，但是意境已走下神坛,再都不可能出现比它牛B的功夫电影了,华丽的夸张，情节倒是紧凑，毫不拖沓
菊次郎的夏天,8.8,340011,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,北斗七星的来由：一个小女孩走了很久的路为她发烧的母亲找水，晕倒在路上，醒来时看到自己的水斗里盛满了水，她开心地要跑回家，这时来了一只很渴的小狗，她把水喂了它，水斗就变成银色的，升上了天空。即便自己缺少爱，也带给别人爱，因为头上有北斗。每个人都在旅行，有目的的，没方向的。有的人一直在走，有的人原地呆着，但我们都会经历很多人事，去遇见，或是被遇见。夏天，就这么结束。,相比久石让的音乐，影片相形见拙。电影像是《中央车站》+《完美的世界》的结合，不同是《菊》以小清新喜剧基调和章回体叙事呈现，主角的可爱流氓性格，自始至终赋予影片乐观积极的情绪操控，即便孩子遇见母亲后主题仍能迅速回到积极一面；缺点是一些幽默元素是强加进去的，看似自然却不真实。,看到最后我哭了，巨大的孤独感将我摧毁。,奇怪，明明夏天总会有能烧焦皮肤的太阳，讨人厌的蚊虫，闷热的空气。但只要有一阵风吹过来，夏天就是一年中最好的季节。
模仿游戏,8.7,409285,看完之后才理解为什么学校的数学楼叫alanturingbuilding，为什么工程学院的咖啡馆叫enigmacafe,1最佳soulmate是去掉性吸引力你仍是完美伴侣2唯一爱你的方式，是建造一部解决人类所有问题的机器，冠以你名。卷福又上升了一个新高度，演绎淋漓尽致结巴天才四星半,最后她去看望他，拥抱他。他孤独地站在那一排为之奉献一生并恩泽全人类的庞大机器面前说，I’mnotalone，neverhavebeen。然后伸手抚摸那些柔软的冰冷。它是他的恋人。而谁记得，孤独的孩子，你是造物的恩宠。,天才之觞。AlanTuring的这台babycomputer如今安静地站在曼城的科学工业博物馆一角，看电影之前我刚去看了它。机器不能思考，但天才倾注于它的所有心血和情感，也许是他孤独短暂的一生唯一可宝贵的珍藏。,再被图灵的守护感动前竟然先被KK感动了，“那又如何？我们和一般人不一样，我们用自己的方式爱着对方”
浪潮,8.7,193898,你认为新纳粹主义不会重新卷土重来吗？看看这部影片吧！法西斯强大的生命力深植于每个人内心，轻易被点燃。,奇怪的不是獨裁者而是服從者,“他们无法理解法西斯主义，但突然间，他们就成了这场运动的一部分”，有些事情不是有理智就能够分辨清楚的,由个人魅力领导不平等社会因素推动的独裁主义遏制除领袖外一切个人主义妄图以集体的力量去对抗所有不平等逃避现实忽视个体的重要性只要还有贫富不均那么法西斯主义的民众基础永远都会有的,君子朋而不党。保持每一个独立思考和人格。这是我反对任何机构和活动“党同伐异”的基本原因。包括乐迷、包括观众、包括粉丝，狂热的、无理性的、邪恶的、革命的、红卫兵式的、党卫军式的群体爆发。这不是游戏。后果不堪设想。你知道我在说什么。
真爱至上,8.6,499122,1、每当我对世局倍感忧虑时，就会想到希思罗机场的入境闸口。人们认为世界充满仇恨与贪婪，但我却不同意。在我看来爱无处不在，虽然未必来的轰轰烈烈，但是爱永远存在。父子，母女，夫妻，男朋友，女朋友，老朋友，当飞机撞上世贸大厦时，临终打出的电话，谈的不是报复，而都是爱。如果你肯留意，你会发现爱其实无处不在。loveactuallyisallaround.,我的圣诞必备，年年都是看这个，年年心情大不同，有时候一个人，有时候两个人，有时候一群人，今晚又是一个人，心里偶尔想着另一个人，偶尔想着一群人。★★★★★,足以爱上HughGrant，爱上他的胖女孩，爱上那个男人对好友新娘无声无果的爱，爱上8岁的山姆和10岁的乔安娜，爱上英格兰男人和葡萄牙女子之间沉默的爱情，原谅那条被你带走的项链，原谅再冷都可以的圣诞节。爱上英国。,至少能干掉几十部《全城热恋》吧,我最期待的那一对没有走到一起。
幸福终点站,8.8,361895,我差点以为TomHanks是智障，但他其实是不抱怨，他踏实，他愿意等待。,等待让人生更加丰厚和充满期待，人生由无数等待组成，等待迟来的班车，等待一次机遇，等待成功，等待老去，等待死亡。幸福没有终点站，只要活着就总会有好事发生，在逆境中仍然活的如鱼得水才是一种境界。,我在维克多身上看到了阿甘的影子~~,人不可妄自菲薄，人应当勇敢、坚强、坚定、乐观、积极、向上的活着。,亲爱的，有时候幸福需要等一等。
一个叫欧维的男人决定去死,8.8,240215,气哼哼的人要是爱起这个世界来，真是一把鼻涕一把泪啊。,忧郁蓝为构色基调，适当的黑色幽默略显温馨，亡妻回忆杀构建出老人高大的男友力max形象，毒舌暴戾的外衣下是颗极感性的心，所有的抱怨均是对这片土地爱的深沉，古板和偏执让人格更显真实。当然，作为北欧片少不了提下环境与人文问题。北欧的天和一个一生爱你的男人，这就是女人一生想要的了吧。,我也拦过在小区开大灯的傻逼，把车开上人行道的傻逼，骂过让狗在电梯撒尿的傻逼，就要这样和傻逼干下去。,剧情其实特别套路，每一个步骤都似曾相识。欧维就像飞屋环游记中的卡尔，怀念着完美的故人的同时偏执和固执被邻居一点一点的磨平最终变亲近。淡淡的音乐伴随着平凡又不平凡的小人物的一生。最后一幕真的无法不想到泰坦尼克吧。,巨人的花园，男主年轻时那副严谨又害羞的样子真是太迷人了。
燃情岁月,8.8,206147,TRADITION.真他妈legends！里三层外三层都是琼瑶阿姨...妻离子散哦...家破人亡哦...国家使命哦...男才女貌哦...宏大家族哦...爱得死去活来哦，女主角出场必洒眼泪...我对此类型已无感...,看这片时我有一半时间在哭哭到虚脱……这是美国片商业片心甘情愿的被煽情至此还有它的配乐放烂了没错但实在是好这么通俗入耳的交响曲当年的彼特真正性感如骏马2003，7,基本可给五星，但纠结的情感使人难受。有两种东西会毁掉家庭：带回家的女人，和政治。,2010-11-17看过。剧情时间跨度大，一战和大禁酒时代，美国西部人迹稀少的草原，开头夫人的离开就暗示了这种生活不是每个人都能接受，印第安人的角色也强调了自然和社会、不同价值观之间的冲突。电影用一个家庭一代人的故事串起很多历史事件，个人的爱恨情仇和时代的波澜壮阔缓缓道来。,又臭又长的电影
朗读者,8.5,358382,终于有从另一个角度看纳粹的电影了。人性的愚笨，执着，甚至荒谬，却又是那样的自然，值得同情，甚至是值得尊敬的。这是今年奥斯卡最佳电影提名里面我认为最有深度和内涵的片子。Winslet的表演也相当棒，把一个低层劳动妇女的善良与粗犷刻画得入木三分。,人因羞耻感而保有秘密，却又因秘密而困锁，但又因坚守秘密，留有一份尊严。难以言述的电影。,“只有一件事可以让灵魂完整，那就是爱！”男孩流着泪的脸经过隧道的阴影，变成了男人，但对她的爱从未消逝，从十五岁开始，一直到她死。甚至他死。,这片不用德语就是先天性第一大败笔。改编没做好，知识分子气十足的小说被TMD改成了情色片，sigh，书还是很不错的。,汉娜热衷于倾听朗读，她对文化世界中的美好事物的向往越强烈，她对自己文盲身份的厌恶和恐惧也就越强烈，这是同一种感情的两面。这让她近乎疯狂地走上了一条维护、追求尊严的道路，为此不惜撒谎，抛弃工作和爱她的人。为了守护秘密，你会走多远？
三块广告牌,8.7,576529,當你完全站在喪女心痛的母親這邊時，你才發現她也可以是一個加害者；當你以為警長就是如廣告牌說的懦弱無用，你才發現他也正在自己的生命旅程面對死亡；當你以為種族歧視的白癡警察已經沒救了，又發現他竟因為一封信而完全改變。沒有誰是絕對正義，沒有誰是絕對邪惡，奉愛之名，可以善也可能是惡。,本届奥斯卡主题——美国妈妈牛逼死了。《伯德小姐》《我花样女王》《大病》《三块广告牌》拜托把这几个妈妈凑在一起吧，光聊天吵架就行，比超级英雄联盟好看一万倍。,一直觉得马丁·麦克唐纳是继昆汀·塔伦蒂诺之后最有才华的编剧，他的剧本每次都是超高的难度，既有一流的编剧技巧又有严肃的文学性。他总是以黑色和荒诞的东西先爽到你，最后再慢慢的用正能量感动你，让你在残酷的生活里看到一丝人性的暖色。这次的人物塑造很厉害，最佳群像表演也是这个剧本的功劳。,这部竟然拍得非常温柔，有点落寞和伤感，看完会被人的善良所打动。虽然确实有些天真，但还是好爱这样的电影，会让你很享受这个故事。当然，导演之前擅长的喜剧部分仍然很到位。几个演员都非常出色，女主和两个男配，写得好，演得更好。挺奥斯卡的片，应该能有斩获吧。,麦克唐纳真的太会写对白了，女主每次怼人都怼得很精彩（怼完神父全场掌声雷动hhh），而她怼得越畅快，就越有“一人对抗全世界“的孤胆气概；越坚强就越寂寞、越寻找就越绝望，这是属于小人物的日常英雄/反英雄瞬间，是麦又一次用十分擅长的荒谬口吻讲述了一个沉重的、很人性的故事。
爱在日落黄昏时,8.8,335301,最后的结尾，杰西坐在沙发上似笑非笑的看着塞林，他一定在想，这个女人太他妈可爱，可爱的想立即上了她，再娶她。,浪漫邂逅，偶然错过，久别重逢，物是人非……祝你们最后上床了,最喜欢一起上楼梯那段，也是两小时话痨电影里唯一没有对话的一段，和九年前两人在视听室里一样，安静，尴尬，暧昧得浓厚。,好的不得了的对白,2018年5月12日第三次重温。面容略憔悴的他们大谈政治经济以掩饰慌乱，说着无关紧要暗暗焦虑时间的流逝；可是车内的哭诉和家门前拥抱，还有那首歌，真的那么痛，那么无法抹去，“你”只不过已成为“爱”的抽象名词，终生和记忆捆绑。在语无伦次的的玩笑里，现实的冷峻逐渐渗透，眼神确认爱情的存在。
终结者2：审判日,8.7,238588,少见的超越首部的续集，动作片中的经典~~,伙计们~还有什么比这个更棒的?,看这个我也能看哭，我多感性啊·,金属狂躁！！！T1000的空前绝后在于一个机器人居然真的具有妖气。,终结者三部曲中最经典的一部
黑客帝国3：矩阵革命,8.7,276943,见过太多的才子，才发现都是膜拜的傻子。到底有多少的电影有你的影子。,严重被低估的好片。我走到哪里都为它叫好平反。,在《黑客1》的结尾所说的那个“无限可能的世界”无疑给了我们最美好的憧憬，但是在《黑客3》中，尼奥的死亡却达到了弥赛亚主义的最高潮，虽然“上帝之国”依然没有得到建立，虽然最后的平衡只是暂时的，但是《黑客帝国》依然给我们留下了一个大同世界的梦。,一个bug和一个流氓软件打来打去，打来打去和打来打去,相对于第一部与第二部，这次的完结篇动作场面和特技场面大幅增加。以表达“和平”为战争的主要目的，并且还有几条感情分支为辅助，以大规模机器人作战和最终一战都堪称完美，也让这个经典的科幻作品画上了完美的休止符。★★★★
彗星来的那一夜,8.5,334485,「量子力学的平行多宇宙学说，在交叉小径的花园里总会有一条路，让人们在生命中的每一个节点都得到幸福。在每一次铭心刻骨的选择里，总有一个你选对了路。在茫茫的恒河沙数的宇宙里，总有一个你，终生幸福。」所以，最后我选择了，留在那一个看似最好的版本，不惜干掉另一个“我”。,没觉得有什么“烧脑”的，有的只是人类共享的对未知维度的震撼和恐惧。结尾毫无防备地从科幻硬是升华出了人性。强烈推荐这部画面烂到不如DV短片却出奇有力的作品。,平行时空不稀奇，神奇的是各路平行时空的交汇之后混乱的生活，看完真的有点恐怖。★★★★☆,真·烧脑，认真看了两遍。第二遍主要注意一些细节，杯子啊衣服扣子啊还有走错门二人组拿箱子跑的时候塞进去的隔热手套……最后总结，如果以女主视角来看，到她落单遇上伪老公吓回屋子往后，身边已经没有一个是最早跟着出来的那拨人了，一个觉得自己被全世界抛弃的人其实做出什么来都不奇怪啦,不知道我还是不是我。睡一觉，过一晚，说不定旧我早已被此刻打字刷豆瓣的我杀死调换，因为据说梦是平行世界的记忆显现。把自己敲死挖坑埋了这种念头，估计谁都有过。总觉得会有个更好最好的自己，也是种心魔吧，得治。反正不管有多少个平行世界存在，我敢肯定，那些我不认识的我也都爱涮海底捞小肥羊。
萤火虫之墓,8.7,306225,【B-】一个日本骚年，他妈死了，他爸死了，因为不想工作也不想当兵更不想洗碗做事（俗称废物）所以流落街头没钱吃饭，于是他妹也死了，他自己也死了，啊，太感人了。,又精致又催人泪下。可是二战时期的日本一点也不值得让人那么同情,“我们做错了什么？”这话应该由日本人说么，即使是平民？妹妹的神态、动作、配音都绝了。,虽然事先知道这是个煽情的片子，知道它注定是个悲剧，还是哭了。告诉你这是个悲伤电影，在你准备好的情况下，还能达到效果，的确是个好片子,虽然很悲惨，但是一想到是在二战的背景之下，对于罪魁祸首的日本我无论如何也无法有同情之心。想当年，在中国的土地上，有千千万万比这更凄惨的悲剧上演过
超能陆战队,8.7,661556,故事不新鲜，但角色有新意。几处萌点和泪点全部来自大白，大白的陪伴，让人想起的不仅仅是：大熊身边的哆啦A梦、教授帕克的忠犬八公、坚守地球的WALL·E、邻家的多多龙、维克多的科学怪狗、小嗝嗝身边的无牙、库珀身边的机器人Case、山姆身边的Gerty、Wallace身边的Gromit...,迪士尼最新的Hyperion渲染器，渲染旧金山全景，几千个光源，无数的preceduralshading...碉堡...剧情的话Hero'sjourny，感情带动很好。动画感觉比Dragon2有看头~忘了说一句，记得看彩蛋~StanLee的哏儿~,好想戳爆胖子看会发生什么……,balalala,三番和东京，动画和机器人，樱花和Caltech，我们的城市我们的大学我们的专业，这部片子对我的意义不一样，我真的惊。呆。了。对最近在想皮肤材质和场景建模和粒子特效的我也格外有教科书的意义。再见MonsterCo，你现在排第二了！（DC在这个我所看过的最彩的彩蛋里被Marvel黑出翔~~~！！！！
穿越时空的少女,8.6,282369,她有一条神奇的永远不会走光的短裙!,打多少星都不够,决定一件事，很多东西不能犹豫，特别是中意某个人的时候,我就奇怪她为什么每次回去都是靠滚的,年轻真好，可以为了各种小事情去穿越时空。
你看起来好像很好吃,8.9,233591,里面的恐龙都像是一群会走路会说话的龟头,“感情不分草食肉食”豆瓣评分加分法则：小清新加分，成长加分，治愈加分，卖萌加分，卖腐加分，又是日本的，加分，还是动画，再加分，这么七加八加就加成了一部豆瓣8.9分电影。★★★☆,这个故事告诉我们霸王龙也是可以过肩摔的！！！！！！（小甲龙的声音怎么可以这么萌T▽T（话说这片是天然腐啊兄弟爱父子情敌友CP啥的,童年时彩色的果子和森林，迷路时被莫名其妙的青色包围，可以开心吃肉的平原是一片金黄，小甲龙的盔甲粉橙搭配得真奇怪，面对父亲的时刻不知为啥周围变得灰暗，遇见情人日子天空澄净如许，和妈妈告别时下着白茫茫的雪……嗯，感谢妈妈你让我来到这个七彩斑斓的世界。,成长、亲情、动作、励志、治愈、搞笑、惊悚、史诗、卖萌、卖腐、名著改编一个不少！谁说非我族类其心必异？明明是天下大同好么！看我头像就知道这种人设完全是狠戳我萌点啊！
步履不停,8.8,167131,亲人只有一次的缘分，无论这辈子我和你会相处多久，也请好好珍惜共聚的时光，下辈子，无论爱与不爱，都不会再见。★★★★★,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,我喜欢电影里的台词，真实不做作，却把这个家庭十几年隐藏的哀痛和矛盾表达的很清楚，最让人感动的莫过于倔老头子送走良多后那句像是自言自语般的，“下次来就是新年了吧”，父亲所特有的不动声色的爱啊～,人生就这么步履不停地前行着，那些舍得的舍不得的人和事总会一一远去，以至再也无法望见。你可能偶尔怀念，也可能丢了命似的道不了别。,我了解关于生命的哀伤，总是静默的，漫长的。
心迷宫,8.7,327695,作为一部小成本处女作，这是一部值得鼓励和需要鼓励的好电影。主要好在剧本方面，多视角拼图叙事，缓缓揭开一个环环相扣的农村题材罪案故事。并以此去照出每个人心中的恶与自私。整个片子剧作结构与剧情设定都很巧。只可惜，因为制作成本过低，制作水平还是略粗糙。其实可以更好。,“有些事，非得问出来？不问就是压在他心头，压一辈子；一旦问出来了，这石头就是压在你心头了”赞叙事结构，过去跟现在将来混合，多人视角交叉重叠连锁反应，最后完美衔接…没有一个多余情节，荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。2015《大象》《全民目击》，超过《烈日》《吾先生》年度最佳。,剧本挺有趣的，没有让三段式沦为中国电影常见的山寨故事。电影化处理上有所欠缺（无论一眼可见的演员表现还是画面处理），不知是不是受限于制作成本，不过，作为第一部，确实不错了。中国电影的未来，依然是在乡村和县城啊。,国产犯罪片越来越好。「烈日灼心」力道够了，然剧本硬伤太重。「心迷宫」的剧本真是惊喜。如此群戏能这样流畅地自圆，已实属不易；时间线打散却又让观众能轻易缕清而不显杂乱无章，确是匠心别具地精巧。开场即惊艳；结尾父子对峙戏太棒。当然，为过审加上的那行字幕让人出戏，不过相信以后会更好。,不造有多少编剧爱好者心里都构思着一个昆汀/里奇/科恩式的犯罪故事，有些故事可能永远都构思不完。起码这部电影把每块拼图都对上了，而且非常中国。非常中国的电影里警察很多地方是缺位的，但关键时刻会在屏幕上用汉字提醒观众他们的高能存在
无人知晓,9.1,173400,家中早已经没有了妈妈，生活早已经很拮据，水电早已经停了，今天吃过的泡面汤要留作明天拌饭，喜爱画画就画在水电停用通知单上，从公园偷水饮用，把摔死的妹妹埋掉......这一切，都没有人知道,真是可爱的孩子啊。从《距离》之后，是枝裕和的电影就越来越生活化，有些纪实的风格，琐碎的生活细节，两个小孩甚至算不上表演，即兴发挥的表演也让这部电影充满了生活气息。更难得的是，面对这种狗血的题材，是枝裕和却并没有煽情和大喊大叫，只是让所有角色一起忍耐、承受着，连同观众一起,艾小柯写的：两个十几岁的孩子，白衣服上沾了泥巴，迎着微曦的曙光，在空旷的早晨一语不发的从黑暗走向黎明，耳边响起的是《珍宝》的歌声：“姗姗来迟的春光，让人深吸一口气……我逐渐成长，没有人可以亲近……”——这段情节最美了,看完以后，也还是沉默，没有煽情的眼泪，没有明显的愤怒，就和这部电影一样，平静的说一个难过的故事，但没有一个人流泪，甚至连埋怨都没有。被抛弃真的很可怕。,男孩一次也没有掉过泪，你看见了吗。
魂断蓝桥,8.8,187354,中国式内在的美国电影。。。,真正的经典电影绝非是口口相传，继而跟风装B，而是即便过了那么多个时代，如今看来依旧让人发自内心由衷地喜爱它称赞它。此片真的是经典，费雯丽的表演震慑人心令人难以忘怀。尤其是从她极为迷人的大眼睛流露出的眼神里包含着的各种情绪（而不是像如今很多女星那般眼大却无神），羞涩甜蜜幸福绝望绝决,早期的剧，译名那叫一个经典，一个快狠准，那个时候有匠人精神。,真爱不是订婚之后隔天就跑去打仗再无音信，真爱是一起去车站揽活儿。Kitty才是真爱Myra。,悲剧是把美好的故事撕碎了给人看，用此话来形容这部残酷美好的电影，估计是最恰当的表述了吧。天真可爱又傻傻的玛拉，让她无法面对纯洁的爱情，可是放到现在，谁又会在意的呢？罗伊爱的是你，不是你那些不愿提及的过往。罗伊一见钟情后巴不得将玛拉介绍给自己认识的所有人，又是多么萌和可爱。
无敌破坏王,8.7,359088,即便今年的动画电影整体水平偏低，也不至于把这样一部作品推上神坛。,迪士尼的华丽逆袭！当拉尔夫落向可乐山，耳边响起坏蛋宣言的时候，即使我已经猜到了结局依然被感动到一塌糊涂……,给我一瓶可乐+一包曼妥思我能拯救全世界！！！！,蜀黍和萝莉、御姐和正太的逆天组合，和《复联》《林中小屋》一样，以“穿越”串起主轴，却没有前者的一锅乱炖，而是毫无违和感。以“反英雄”主角的消极情绪，一路升温来找回正能量。倘若你曾是8位机或游戏厅的玩家，必定能够旧梦重温、重拾童趣！,如果说人设制作配乐什么的是动画的血肉，那创意和情感就是动画的魂。而为什么当初说《勇敢传说》让人失望，因为它虽然将前者做到无可挑剔，但它的后者却弱到爆。《无敌破坏王》游戏机内世界的设定之巧堪比当时的《怪物公司》，而对于主角心理的描摹也令人叫好，小机灵更是遍布全篇。最后我有泪啦。
疯狂的麦克斯4：狂暴之路,8.6,347719,分为什么那么高。。。。,核辐射末日美学……不能大银幕欣赏，只能这样了。,全程内心戏都是：【卧槽！还有这种操作！……】,黄沙漫漫，一路追逐一路干。末日疯狂，不死不残不算完。,除了燃，MadMax4还说了一件事。背井离乡七千天，无一日不惦念。不论眼下多苦，相信只要回头就有希望，因为那里是丰饶的绿洲。但这终究只是个幻觉。离开家乡越久，幻觉越严重。你以为逃离能解决一切，但真正的胜者不是寻找greenland的人，而是改变wasteland的人。
哪吒闹海,9.0,161659,蒋勋在孤独六讲里写哪吒，他说，我记得年少时，读到哪吒把肉身还给父母，变成幽魂，最后找了与父母不相干的东西作为肉体的寄托，隐约感觉到那是当时的我最想做的背叛，我不希望有血缘，血缘是我巨大的负担和束缚。父母是我们最大的原罪，是一辈子还不了的亏欠，就是欠他骨肉，欠他血脉，所以当小说描述到哪吒削骨还父，割肉还母时，会给读者带来那么大的震撼。可是，这个角色在过去饱受争议，大家不敢讨论他，因为在百善孝为先的前提之下，他是一个孤独的出走者。,哪吒要是搁现在，就是一少儿精神病患者：躁郁症、暴力狂、自杀倾向、逆反心理……辅导人员要密切关注他看什么书，听什么音乐，玩什么电脑游戏，业余时间从事什么活动，必须定期参加心理辅导，服用抗躁郁症药……比美国哥伦比亚中学枪击案主谋更犀利的家伙,爹爹，你的骨肉我还给你，我不连累你。,~~想你时你在闹海~~,电影真的是时代的产物，小时候看这版的哪吒，不觉得故事有问题，现在再看，才发现这是一个政治味道浓重的故事，传达的价值观念赤裸裸。对比饺子导演对【哪吒之魔童降世】的处理，我命由我不由天的主题又很符合我们当下的主流价值观，哪吒变成了另外一个故事，可能会成为现在这代小朋友的童年回忆，和我们这一代看的哪吒是完全不一样的，可能这就是讲故事的魅力吧。
借东西的小人阿莉埃蒂,8.8,359886,富四代，虽然你粗暴地用华丽的厨房打动了丈母娘，却无法用奢华的别墅赢得美人的心。太多现实问题你没考虑，比如抚育下一代的问题，你想过没有？！！,此生暂借于世上。。这是无言的结局，我能想见阿莉艾蒂最终被同族淳朴少年打动，相守繁衍。那个有温柔眼眸的人，从此相忘天涯，深藏于心。,能赠予你的临别礼物，不过是一块小小的方糖。,比波妞好看多了……而且配乐相当好听……,刚去看了回来，音乐实在太赞了！
爱在午夜降临前,8.8,206833,这世上不会有一个绝对完美的灵魂伴侣，永远都不会有。也许会有那么一霎那的真爱，这不完美，但这就是真实。你如果看不到，你就是他妈的瞎子。,“我虽努力，却难于去亲近自己心爱的人”经历了平淡、争吵、否定、相濡以沫所有最真实的感情状态，18年过后，最难的是仍对彼此保有激情。上一次看到这么纯粹的爱情电影，还是九年前。伊桑朱莉理查请你们9年后准时回来，哪怕拍不动了、聊不起了、原地静坐90分钟，也好啊。期待2022年的第四部。,结婚快10年互相之间还有这么多话可讲，还有性生活，这他妈不是真爱是什么？,虽然之前的争吵真实得让人糟心，但结尾逐渐拉远的镜头仍让人感动。前两部的浪漫与激情都变成了书里的故事，这一部则完全生活下来。各种鸡毛蒜皮的琐事只是一个假设，关于如何让爱延续一生。生活中总会有这样那样的矛盾，人也会变老（比如半裸的朱莉·德尔佩却很难让你觉得性感）问题是我们如何挨过去。,"""Weappearandwedisappear,andwe'reimportanttosome,butwe'rejustpassingthrough."""
未麻的部屋,8.9,175409,达伦，你到底从今敏那里偷了多少灵感，这和《黑天鹅》的设定有很多相似之处啊！镜子的割裂，心理暗示，散碎的剪辑，真他妈牛逼。,好的剧本就是就算你猜到了结局也猜不到全部,《黑天鹅》《梦之安魂曲》轮番借鉴本片。在日本做idol真是不容易，总是在理想和现实中挣扎，被大量地消费色相，想起了也曾被剥削过度的天地真理、冈田有希子、南野阳子、酒井法子、宫泽理惠和泽尻英龙华……也许这样的悲剧还会一代接着一代地进行下去,“好片子，但不想再看第二遍”,想想看这才是1997年的动画电影！今时今日很多真人电影仍然无法比拟它的用心良苦、诚意、和所达到的效果。为了扑朔迷离，今敏用尽心思。
遗愿清单,8.6,241497,在电影最后卡特的念白声中，科尔来到女儿家，俯身亲吻美丽的孙女，随后划去“亲吻世上最美的女孩”，我就开始哭，一直哭到电影结束，太温暖了，这个故事仿佛离我很远啊，可我为什么会被感动成这样子。,笑了三分之二，最后开始落泪。你亲吻了世界上最美的女孩，你们的故事成为别人见过的最美的传奇。,渐入佳境，直击心灵。老卡特的问题：在你的生命中，是否有过欢乐？那你这一生，有没有给别人带去快乐？爱德华的经验：想尿别谦让，硬了就快上，屁要小心放！,喜欢定好小计划然后一一划去的小成就感,三流剧本，一流演技，主要是看两个主角啦
