用户名,评分,推荐,内容,评论时间
SummerWindy-_-,4,推荐,"一万小时理论的数据故事论证过程。通过不断地练习达到对事情有心里表征的意识(心流)，然后针对瓶颈刻意练习就能突破自我不断精进。能够走出自己的舒适区，重复的训练能够达到专业，不断的突破上限才能成为专家，突破上限有很多方法，寻找导师，互联网交流，自我暗示等~  可以从这么多故事中更多体会到妈妈常说的一句老话""行行出状元 只要肯专研""",2020-03-30
行歌,3,还行,该书关键词：心理表征。刻意练习就是为了创建有效的、细致的心理表征，以此指导自已的行为，时时给予纠正。心理表征类似一个链接，点进去就是对某概念的理解。如何探索自已的心理表征？“在完成任务的过程中停下来，请描述当前的情形、已经发生了什么，和即将发生什么。”找出最杰出的人，知道跟他的心理表征的差距；花时间辨别在哪些方面可以改进，然后设计出有针对性的训练方法去刻意练习，要全身心的投入，把自已逼出舒适区，又不能过于tough；要有及时反馈。这些正是该书总结的刻意练习三要点：Focus，Feedback，Fix it.,2020-03-28
三味闲闲,3,还行,核心是要有目的地练习，其实也基本是学习的通行公理，运用好前人摸索出的技巧，走出自己的舒适区去努力，分解目标，建立反馈机制等。道理都懂，实践才是难点，得自己有超强的动力。,2020-03-16
瓜瓜,4,推荐,"核心理论：制定好可量化的目标（辨别杰出人物推测原因），掌握科学有效的方法（好导师和及时反馈），通过有目的的专注投入练习建立高效的心理表征（敏锐察觉练习中的错误），有效则坚持，无效则找问题并调整。
其他可取之处——
1.常见错误思维：用基因等借口给自己设限（红灯思维），长时间做某件事，只需努力即可。
2.医学领域说教式知识传播很低效。
3.练习时分解技能进行反复。分解成可控目标并设置奖励。
4.停滞期用新的方式挑战自己走出舒适区。搞清楚原因并针对改进。
5.保持动机：弱化停下理由（留出固定时间，找到干扰并控制影响到最小），增强继续倾向（相信自己可以成功，社会动机、加入团体）",2020-03-19
文Sir,4,推荐,重点就是有目的的练习，同时找到更好的更适合自己的练习（学习）方法，并且建立良好的心态,2020-03-28
摇摇乐,4,推荐,方法论不错，例子太多了,2020-03-16
Li ·a,2,较差,不是全然无理，也不是一无所取。用一本书的篇幅告诉你不要无脑练习，要带难度有导师有反馈还要趁年轻，这作者和记数字的人一样不可思议。,2020-03-18
夕年种柳,4,推荐,训诂天生就带着说教的原罪，更何况教你如何学习“学习”这么变态的一件事。,2020-03-23
EN~,5,力荐,太好的书,2020-03-21
小确幸,3,还行,focus feedback fix it,2020-03-24
沈落舟,5,力荐,给人以信心。我之前就告诉自己：人最大的限制就是自我设限。只是给自己的鸡血，这本书告诉我，我是对的。没有什么能阻挡人真正前进的脚步。,2020-03-30
有人喜欢红,4,推荐,从来就没有天才和捷径，一万小时定理也只是到达终点的必要条件之一，找到一位好的导师、确定可分解的目标、获得及时反馈持续纠偏、保持专注与动机…所有的条件组合，才是通往伟大的必经之路。理论非常好，但写作者太拖沓了，有几章有骗稿费的嫌疑。,2020-03-17
林活泼泼地,3,还行,书的名称即为核心重点，全书通篇都在通过各种研究各种数据各种事例，如车轱辘话一般在反复说明，刻意练习是比“一万小时”更深刻更高明的学习理论。客观来说，里面很多观点是不错的，但无需如此篇幅来说明啊。看此书最大的意义就是，看完后立马抛开它，然后开始刻意练习。,2020-03-27
婴儿婪,3,还行,"“有目的的练习，或者说刻意练习，其标志是你努力去做一些你无法做到的事情，去完成一些处在你的舒适区以外的任务，而且，你一而再再而三地练习，着重关注到底可以怎么做好它，在哪方面还有缺陷，以及你可以怎样进步。”

有点冗长，用了大量案例，看看小标题就够了。",2020-04-02
栗子,3,还行,量化，专注，反馈。实现技能迭代和水平升迁。方法很重要但关键还是专注力。,2020-03-30
Treasur,,3-,用大量的案例说明了大概就两页纸的概括,2020-03-25
Lizeth,4,推荐,天分都是通过正确的刻意练习得来的 没有谁只凭天分而不去努力练习就可以得到成功 有个好的导师建立有效的心理表征可以事半功倍 好的导师不是那些评论里描述有趣轻松的老师 而是能帮你找出症结所在顺利渡过停滞期的人 跟认知天性前后脚看的 两本书互为补充 对如何学习有了新的认识 也反思自己以前上学时为了追求名次而去学习 并没有真的去学 而是为了显示自己的能力 而不是不断地挑战自己的能力 正确认识挫折 也是学习的一部分 更能鼓励自己迈上下一个台阶,2020-03-28
