title,score,number reviews,comment list hot
荆棘鸟,荆棘鸟,8.6,"['爱绝不是占有，而是尊重，舍己，等待，持守，祝福。\r\n爱是完全接纳，而不是按己意去塑造对方。\r\n""我知道你爱我，我可以等待。我总是相信，一个有耐性的男人最终会胜利的。""\r\n""为什么你不直截了当地说你爱我？我希望你这样说的！""\r\n""不。爱的迹象就摆在那里，要你自己看出它是给你的，如果它是给你的，你一定会明白的。""\r\n""朱丝婷，我不会让你改变现在的样子，变成另外一个样。就连你脸上的一个雀斑或大脑里的一个细胞都不会变的。""', '耐心是一种极高的品质，这本书的每一个主要人物都具备了这种品质。等待着，埋藏着，暗地里骄傲着，为自己，为爱情，也为艰难的世事强加在自己身上的重担反抗着。', '顺从命运的人只能被命运摆弄。唯有认清自己才能走在命运的前头。', '一世的哀伤。。。把一生只对一份爱负责当成信仰的人生，菲把一生献祭给她的初恋，梅吉把一生献祭给禁欲之恋，而朱丝婷也很有可能把一生献祭给唯一无条件支持和懂得自已的弟弟戴恩，所幸最后她逃出生天。。。。拉尔夫最后忏悔了，菲向梅吉道歉了，而梅吉学会了珍惜朱丝婷……', '虽号称澳洲版《乱世佳人》，不过个人觉得比《飘》差多了']"
德米安,德米安,9.0,"['黑塞为什么老爱写这么基的故事', '我曾一直以为纳与歌，在轮下，荒原狼是黑塞的过渡作品，现在却忽然明白，他一生都处于过渡期，到最后也没有得到平和，所以玻璃球游戏里乌尔里希最终还是在走向世界的关口死去。在我所看过的所有作家里，黑塞最亲近。和集体价值无法统一，无法沉溺于个人道路以达到纯粹，无法真正的顺应，终于内心而不加评判，充满某种冷漠的虚无。德米安一书是找寻之途，找寻的是翔，由此我可以理解他后来那么贴近老庄的原因。但这必然不是答案，回归爱娃的母体依然不能回答加缪的问题：人可否自杀。这道路没有归宿，好在他一直在探索。', '你一直在光明世界里，但吸引着你的永远是黑暗世界。也许前面除了深不可测的黑暗什么都没有，每一步都是危险。但只有踏入黑暗世界并从中再爬起来，你才能走向自我。除此之外没有捷径。', '上帝啊，简直完美，这本书塑造了半个我，唤醒了另外半个', '一个人要经过怎样的锤炼才能在多年后依然保有一颗如此敏感细腻的心，去与彷徨少年时的自己共情呢？与那张仅存在于文字间的破壳之鸟相见恨晚。']"
全球通史,全球通史,9.1,"['读完了，终于对世界历史有个大轮廓大脉络的理解了。感觉被全身五经六脉被打通了！！', '小学课外读物水平都不够，不但肤浅，漏洞百出，比如把吐蕃匈奴划作汉，作为学术著作不严谨，完全的欧美文化中心论，视欧洲扩张为打破其他孤立世纪的文明革命…', '确实是我想要的书，过了一遍，补上了高中没学过的全球史。对历史有个大致的概念了。缺点是图还是略少，尤其是地图，提到那些半岛的时候总是反应不过来在哪。有些段落在各章重复出现。历史这门学科信息量太大了天哪粗略讲一遍大事表都有这么厚。不过真的很有意思', '嚼蜡,写的象教材', '感兴趣的都知道了，没兴趣的也看不下去。而且观点陈旧。']"
天朝的崩溃,天朝的崩溃,9.1,"['对于这本书的评论，不敢造次太多，因为它实在是对我的震撼太大。不夸张地说，我认为近二十年仅就论考证之作来说，没有哪一本书能够达到此书的水平与贡献程度，更何况它还不仅仅只是考证史实，书中发表的长篇大论也极为精彩，观点独特，别开生面，让人在史与论中重新回到那150年前的战争中去，这才是真正的穿越，比起那些哗众取宠的浮躁小说，此书的学术严谨性更能让历史爱好者深切地感受着那个时代甚至是那一年那一分钟发生的故事。此书也确实从发表以来就引起了很大的争议，对于前人之说也有不少否定与怀疑，但这些论点都是基于作者研究了大量史料并且旁征博引了极其丰富的书籍而得出的结论，说服力之强让人有口难辨，着实大开眼界。真实地回归到那个时代，从那个时代的人和事的角度去解读鸦片战争，作者做到了。顶级的作品，一定不要也不能错过。', '这是一本不那么一本正经但却严肃的学术著作而非轻松的阅读小册。背负着“上国天朝”的春秋大梦，后人总是把愚昧无知的的真实人物形象粉饰成想象中的“忠臣、奸臣、爱国、汉奸”的符号，以掩盖真实的虚弱愚昧落后。标签之下的道德诘难最是容易也最不负责任的做法，无视文明本身的短视封闭狂妄自大让所谓的“理解”显得那么啼笑皆非。两个完全无法沟通的文明体系的碰撞只能鸡同鸭讲。暴力是双方能够沟通唯一语言。故纸堆中的故人，看着很遥远，细想之下又无处不再。时至今日，庙堂江湖之人，仍未必比故人高明。', '以前学鸦片战争，我总感觉不对劲，如今读了这本书，虽然不至于像被洗了个脑，但气总算顺过来了。作者通过丰富而细致的解读，把事情的来龙去脉讲得十分清楚（特别是军事分析部分），难能可贵。如果要吹毛求疵的话，那就是文字功夫还有所欠缺，有些叙述显得笨重，感性与理性之间的处理，也有失分寸。最大的收获是：永远不停地去接受新知，对个人，对国家，都是十分重要的事情。', '虽然在一定程度上深入到了历史人物自身的逻辑和命运，只可惜最后还是用宏大的国家前途来诠释、评价、审判人物。执着于此，其实还是对个人的忽视和冷酷，而没有历史之同情。', '典范啊，典范。中国近代史研究的经典之作，史实、史笔、史识，无一不佳。对中国传统（乃至当代）文化的批判鞭辟入里。']"
罗生门,罗生门,8.7,"['芥川在当代的话。。 写微博确实能成一红人', '为啥书评都写得那么牛，我看完完全没感觉真是......', '短篇很精致。占了大半本书的《侏儒警语》是一部优秀的围脖体小说。', '浮世绘。另：黑泽明的电影「罗生门」应是书中的「密林中」。', '【2014.2.13~3.1】相见恨晚。和王尔德比，更是一种清雅的唯美主义，连最惊心动魄的惨烈情节，都会让人想起青绿的水池中盈盈婉立的白莲花的黄芯。因为林少华的名头读这版本，但选篇甚少（芥川一生写了148篇小说），才12篇小说+《侏儒警语》，待后用文洁若等人的译本补齐（对文洁若这位好斗老妪实在无好感）。此外，本书的《地狱变》读的是楼适夷的译文，在译林的《罗生门》小说集中可以找到楼适夷的好几篇译本。知道楼适夷这个名字，一是他曾批评施蛰存写作入了魔道，另一是在某次文艺会上，因鲁迅而发生激烈争执时，大哭。']"
献给阿尔吉侬的花束,献给阿尔吉侬的花束,9.0,"['我敢说我从前读这本书的时候并没有真正感同身受。难道这不就是人的一生吗？从无知天真的孩童成长，变成掌握知识的人，最后垂垂老矣之时变得糊里糊涂。而且变笨的时刻未必是在衰老之后，许多当年的神童大学毕业后工作几年便泯然众人，然后不会再记得年少时聪慧的念头闪过脑海的感受。', '中篇已经够好了，长篇细腻是细腻但整体并没比中篇好太多，没体现出扩写的必要（但还是哭晕了18回（然后看到有人因为“错字太多”给了3星，哭晕第19回', '如果有时间，请帮我放一些花在后院阿尔吉侬的坟墓上。 ', '飞机上看完的，然后在机舱一直哭。。。几年来看到的最好的小说。这被称为科幻小说，事实上科幻是形式，打动我们的还是人性。从不曾拥有和曾拥有全部然后眼睁睁失去到底哪个更令人无法忍受？', '看到350页出现第一个错别字的时候我终于哭成了一只狗逼。如果是我一定会在意识到退化的那一刻自杀的。']"
上学记,上学记,8.9,"['拿那时的学习、大学状态跟今天做对比，难过、尴尬、辛酸地，不知该从何说起。他老人家说了很多实话，虽然都是些小心翼翼的实话，不过，已经很不容易了。', '非常非常好，真实，亲切，有感情，也很有理性的提领。胡适，陈寅恪，沈从文，钱钟书，刘文典，梅贻琦....每个名字扔出来都砸的我金星乱冒，花痴般的对西南联大产生无比的神往，真是战争年代的天堂。物质艰苦，精神却空前的丰富和自由，羡慕嫉妒恨。。。', '每读过去时光，只恨生不逢时。过去做学问的专心和激情令人难以不拿今日浮躁风气作比对，涂艳羡。', '如果矫情一点的话，这本书可以用“一个时代的体温”来形容', '大学应该是这样的！']"
倚天屠龙记(共四册),倚天屠龙记(共四册),8.6,"['他强由他强，清风拂山冈；他横任他横，明月照大江。', '被张无忌气死了，就算钻进书里他有九阳神功护体也杀不了他，赵敏大智大勇敢爱敢恨顶天立地响当当一条汉子，配了如此怂货，她应该爱苦头陀大师！要是不毁容多般配！周芷若典型碧池，小昭典型男人意淫中的充气女仆。可惜这就是人生，所以三部曲里觉得最好看。。', '始终不明白为何我喜欢芷若不喜赵敏。当然，无人能替代杨逍在我心中的地位。', '心意反复不定的人怎么是绝世高手呢？不能令人信服。', '射雕写侠，神雕写情，倚天写义。郭靖的一生是奋斗+奇遇，杨过的一生是叛逆，张无忌一生的多是顺势而为，他的仁爱胸襟学识际遇都非前两者能比，他的困扰不是突破重重阻碍向上，而是抉择和取舍，善恶是非、情与义、义与义、情与情之间的取舍。金庸说小昭是他认为最可爱的女孩，我觉得小昭乖巧最让人有安全感，爱起来也是波澜不惊。蛛儿是表面泼辣内里温柔的邻家妹妹，可惜金庸笔下的青梅竹马模式很少能修成正果。周芷若是身不由己的江湖女子，人生和爱情都要靠经营和算计，张无忌何尝能懂她，他们本不是一路人。赵敏的爱是一场豪赌，也只有她的浓烈能让张无忌体会情不自禁刻骨铭心的爱。这本书里让我觉得美好的感情是张君宝对郭襄、郭襄对杨过、何足道对郭襄，三个人三段隐而未发的单恋。']"
霸王别姬,霸王别姬,9.1,"['比电影冷静得多，结局也没那么戏剧化，“就算少一个时辰都不算一辈子”这种话果然还是在心里默默想想而不要讲出来的比较好……这个故事跨越了民国、抗日、内战、反右、文革等足足六十年，读的时候一直在想要是涵盖的命题更多些该多宏大多好看，不过李碧华自然清楚自己的优缺点，因而对每个时期都是浅尝辄止，既能引起读者共鸣又不至于暴露任何知识上的匮乏，并且每一个历史上的巨变都创造/迎合了情感上的巨变，这样的自知之明比不自知而妄图写出宏大作品却失败的作家要好太多了。', '末路霸王，迟暮虞姬。虞姬最后倒在西楚霸王的怀里，也不过是老年来做的一个风流缱绻的梦而已，说什么姹紫嫣红，说什么断壁残垣，都是旧时代里的一场痴魔而已。老京城，老一代痴魔京戏的人们，固执要念宣统二十二年的老公公，梨园里湿漉漉的相拥入眠，有钱后要吃个痛快的盆儿糕，都在四面楚歌的时代围剿下渐行渐远。程蝶衣是那个时代最后一声哀嚎，细弱渐微的呼号。但亦是最华丽的尾音，摊了一地的戏服，华彩肆意，水钻的行头，胭脂水粉味儿飘过整个熙攘的后台，蝶衣为小楼勾脸，小石头赌气般地说，“一辈子就一辈子！”倘若真能一辈子便好了，可一辈子的安康美好却也不会是这样让人肝颤的传奇。', '张国荣他们在戏里演的确实好，像是照着书里摹下来的。而李碧华，一支笔就把所有角的眉眼，情怨纠葛，世间丑态，给写了个透亮。原来历史与现实的交汇，霸王虞姬，小楼蝶衣，又为张国荣的演绎，增添了一笔人生如戏的荒诞。', '李碧华原名李白', '通人事以前看的书和电影都是不作数的。书尾秘密戳穿那段真是看哭我了。李碧华太会写痴心人了，好在直男被革了命，都落得个香港街头落魄阿伯的下场。（话说张国荣在胭脂扣里演个负心汉，也是蛮为蝶衣解恨了）']"
社会心理学,社会心理学,9.0,"['“一旦思维得到扩展，思想就再也不会回到原本那个狭小的领域了。”', '看这本书有种似曾相识的感觉--什么《59秒》、《影响力》不都是这本书东拼西凑的产物吗？这本是市面上大多数书的祖宗。', '这本书断断续续的看了几个月才看完，实在收获太多，书签加了一大摞，记号笔大概都用空了一根，有空再看一遍……', '为什么我觉得这本书翻译的很多地方都不太通顺~~不符合中国人阅读习惯。。翻译腔挺重的。。。', '这类书，应该算教材，实际上，如果做成精简版的结论快餐书，对非学生来说，则是一个福音。']"
牧羊少年奇幻之旅,牧羊少年奇幻之旅,8.6,"['总有这样一本书，在你恰好需要的时候出现在你视野里，这大概也是宿命的一种吧：）', '“炼金术士们守候多年，观察冶炼金属的火焰，观察久了，渐渐就把世上所有的虚荣尽皆弃之脑后。于是，有一天，他们发现提炼提炼金属的结果却是净化了他们自身。”所谓使命，终究不是完成一件事，而是成为一个人。', '四个字 故弄玄虚……', '畅销的成人励志寓言，加长版心灵鸡汤。', '宿命论心灵鸡汤大合辑。各种说教，多得我都有点恶心了。全书总结就一句：要信命哦亲～']"
四世同堂,四世同堂,9.3,"['在我这并不是老舍写的最好的小说 却是他最不淡定最力透纸背的书写 秒杀绝大多数国仇家恨的奋笔描述 老舍太懂得中国人 一腔子对国与民的爱与耻波涛汹涌 他笔下却还是毫不掺水的炎黄众生相 他是伟大的。 ', '现在读那个年代的所谓名著，总觉得这些真的很幼稚。作者的存在感太强了，而且总喜欢把读者当傻子，什么话都说的那么白，同一个意思重复那么多遍讲一大堆废话……真正的文学并不是作者在讲述，而是让人物自己说自己表现。当然，我们现在批评几十年前的文学着实有些忘本，毕竟我们是站在巨人的肩膀上。也许我们现在随便写一篇文章放在当年就可以成名，但可惜，我们并没有生在当年，或者说，倘若生在当年，我们也写不出这些文章了。', '一个人他怎么能写这么好。。每个字都有生命。我无力评论。。只顺代说这个版本可以，有丁聪的插画。', '两个字儿：大气。所谓大气就是：写了那么多个人物，所有的人物都立刻让你觉得是这个人在你眼前蹦跶出来了，而不会想到作者的那个“我”，尤其是那个“过剩的我', '老北京的生活啊。最后几章是集中投放的催泪弹。']"
顾城的诗,顾城的诗,8.8,"['我从不放纵我的单纯。做人不要学顾城。', '虽然他是个神经病但是我真的蛮爱他的', '黑暗得彻底，光明得彻底，一如那个歇斯底里的八十年代，一如所有探索的灵魂。', '这本书就是我的青春，我背诵他，为他的某一句而哭泣。这本书让我觉得，顾城离开这个世界最大的原因，就是他用他那黑色的眼睛把这个世界看的太清楚。我无法不迷恋他，尽管他是如此的疯狂。', '其实很多都不怎样']"
小径分岔的花园,小径分岔的花园,8.9,"['刘慈欣用百万字写三体，告诉我们宇宙是什么，时间是什么，博尔赫斯用几百字就做到了。', '总有一只猴子能在打字机上敲出哈姆雷特，总有一个你能在小径分岔的花园里终生幸福。在文字领域与玄妙事物领域间的跨境，只有大师才能做到如此潇洒不羁。【从今天起，请给我“读过博尔赫斯”之标签。', '不明白为何评分这么高。只有“通天塔图书馆”这一篇让我眼前一亮，因为自己也曾经想过有限的字母进行无限书写可以预先把一切发生的事情都叙述出来的问题。“小径分叉的花园”这篇比较巧妙。但整个而言，设计的情节都有点在讨论无限性或可能性问题（而似乎缺少微积分和分析方法），注重形式，这里博尔赫斯的灵魂是苍老的，仿佛从来没有自己的过去和年轻时刻似的。没有捕捉到青春的激情、也没有为什么灵感而惊诧。这里博尔赫斯似乎不属于自己，像个世纪老人一样属于人类，在那些陈旧的窗棂上重复着那古旧的打扫。', '博尔赫斯在此部小说集中明显的反映出自身的创作主旨：形而上学。以玄学来揣度人、宇宙本质的奇妙可能。是亚里士多德古代哲学的反照，重认识轻实践，这放在文学中开脱写作空间，而不是放在科学应用中也未尝不可。《小径分叉的花园》以伏笔、前后呼应来展现”因果律“的无常之妙。《特隆、乌克巴尔、奥比斯·特蒂乌斯》创造了一个奇特的唯心主义宇宙观，《通天塔图书馆》把书籍作为宇宙”本体论“的根源，幻想出六角形图书馆的无限空间科幻奇观。《环形废墟》把存在、自由意志、梦、灵魂放入循环悖论中，讲了一个迷雾重重的反转奇闻。《巴比伦彩票》和《凤凰教派》把人类社会隐喻在赌博、不宣之秘中，映射资本融资、集权、社会潜规则。博尔赫斯的短篇非常难读，很多内容无法参透而且有多种解读可能，花了很久才读完，阅读过程中既艰难又有趣。', '姑娘们追一部韩剧换一个老公，我是翻一本书换一个男神……']"
一句顶一万句,一句顶一万句,8.7,"['我喜欢刘震云这样说话，喜欢这样的话，不是因为他说的多么高深，而是觉得这话虽然绕，但所有的落脚点都站到了理上；喜欢这样的话也不是因为句句在理，而是因为这句句在理的话如果不用这样的话来说，就失了些乡土气的风致；其实也不是因为接地气，而是人世间的很多事情本来就是如此，绕来绕去，本来是这样的事，后来也便成了那样的事了，本来是一件事，后面也变成千万件事情了。\r\n', '又名《关于“不是……是……”的一万种造句法》。', '不要说精神的痛苦只有知识分子才有', '人活一辈子，不图啥，就为个说得着的人。有的人从前说不着，过些年却说得着了；有的人从前说得着，说着说着却忽然说不着了。什么爱啊，亲情友情啊，也就是看说不说得着，真难过。', '书里的人物都亲切，好像小时候听妈妈讲姥姥的故事。回到循环的人情世故，村庄和田野都装着小人物们类似的命运。北京的凌晨相比之下寡然无味，书里最辽远的一桩孤独，就是巧玲“一梦醒来，窗外的月牙，映在枣树的树杈间。”']"
我不知道该说什么，关于死亡还是爱情,我不知道该说什么，关于死亡还是爱情,9.0,"['“我看遍了他人的痛苦”——中文名能不能别这么翻译，“我不知道该说什么，关于死亡还是爱情”，尼玛，这又不是爱情小说，误导读者。', '或许所有英雄都只是被迫成为英雄', '我一直以为切尔诺贝利在俄罗斯。我以为那是无人区。我以为就算最严重的事故，只要封锁那片土地就可以将核危险值降低至最低。我以为照片比文字更具有冲击力。然而，我花了一个星期才看完这两百多页的文字。黑暗、压抑、恐惧、独裁、世界末日。切尔诺贝利事故有8吨多强辐射物泄露，所不知道的是，石棺之下还有200吨核原材料！我们同情切尔诺贝利人，他们见过他人未知的事物，但有朝一日，我们也会变成切尔诺贝利人。我们现在何尝又不是切尔诺贝利人呢？同样的政府同样的意识形态，围绕在我们身边的天灾人祸，又何不是一个个小小的切尔诺贝利呢？从来没有想过还会有这样一本纪实文学，能深深震撼我，揪心，我真实地感受着我没有经历过的事情，却继续着我的悲伤。', '就好像急病和慢性病的区别，切尔诺贝利是急病，而我们现在生活的国度是慢性病。被污染的空气、水，无法知道安全性的食物，连危害也没有样本。隐瞒是第一要义，为所谓国家利益人命是微不足道的。依然妄自尊大地认为人定胜天。孩子仅仅是父母的责任，国家可无暇顾及。', '1986年切尔诺贝利核电站爆炸的纪实作品。太多思考，关于科技发展、集体主义、信仰、死亡、爱情。纪实文学区别于小说的地方在于你合上书，心里明白一切苦难都是真实存在过甚至继续存在着的。【回家后我去跳舞，遇到喜欢的女孩，我说“我们交往吧。”“有什么用？你是切尔诺贝利人了，我不敢和你生小孩。”】你还能说什么？关于死亡和爱情。']"
此生未完成,此生未完成,8.9,"['还有好多书想看，好多道理想懂，好多事想做，还有好多愿望，爱很多人，爱这个世界，还没好好恋爱，在一起，很久很久，还有好多有意思的东西想一起分享，我不想死，我们都少熬夜好不好 ', '一个人的一生就这样变成一本书的时候，真是令人唏嘘不已！', '后半段关于人生的思考还是很到位的，看完此书之后不知为何我的拖延症好了很多，当时没发觉，后来再遇到考试的时候，我很少拖到最后一个月才看书了，工作也是在月初抓紧，完成任务后可以投入到自己喜欢的事情上，有的时候觉得人生很长，长到可以重新开始建立新的梦想，有的时候看到同龄人的离去又觉得生命无常，今天的我们可以选择努力奋斗也可以选择享受生活，但如果没有明天，请别在今天留下遗憾', '2011年4月19日凌晨3时，于娟撒手西去。正如于娟博文中所说，生命如斯，应无所憾。她这一生，一路奔腾，奋发向上，一次次冲破关卡，用她的纯真、热情、善良和上天赐予的天赋，留下一篇篇传世文章，一颗颗拔地而起的能源林，还有笑对生死、无畏施的精神。——这本书和这个女人值得人用下跪的方式致敬。', '说实话，写她的小狗啊婚恋观之类的后半部分并不太好看。。']"
正见,正见,8.8,"['佛陀说：追求天长地久的人都是傻逼。', '佛的四法印并没错，问题在于它却仅仅揭示出事物消极本质的一面。已不愿意再去接触太多本质论的东西，过分的真实与谎言一样，都会影响我们合理公正的看待问题。绝望是容易的，重要的绝望之后再如何生活。毁坏是容易的，重要的是毁坏之后再如何建立。无明是苦，而洞见更苦。也许正因为如此，我才无法成为四大皆空的佛教徒吧。', '诸行无常，诸陋皆苦，诸法无我，涅槃寂静。', '差评。真是的，佛学这么深这么大的东西怎么写得和不转不是中国人似的呢。', '很棒的书。对于不能掌握自己喜怒哀乐的人，还有那些看不透世事的人，看了会觉得眼界顿开的。我会推荐我身边亲近的人看，虽然我不是佛教徒，也没有什么信仰，但是这个不是宣扬迷信。佛教在中国被世俗化了很多，很多人误认为是迷信，封建，落后的文化，这个是不对的。']"
棋王,棋王,8.7,"['“阿城是懂得十分，只说二分”——王朔', '煮蛇汤一段，着实吸引人。', '“夜黑黑的，伸手不见五指。王一生已经睡死。我却还似乎耳边人声嚷动，眼前火把通明，山民们铁了脸，肩着柴禾林中走，咿咿呀呀地唱。我笑起来，想：不做俗人，哪儿会知道这般乐趣？家破人亡，平了头每日荷锄，却自有真人生在里面，识到了，即是幸，即是福。衣食是本，自有人类，就是每日在忙这个。可囿在其中，终于还不太像人。倦意渐渐上来，就拥了幕布，沉沉睡去。”树王、棋王、孩子王，一致的知青生活回忆。对女性的模糊化处理。牙刷象棋。炊烟一篇尤好。', '好久没有一本书能让我哭', '王一生最后那个对手、满口道禅的本地冠军老头子，哄过了许多读者。连汪曾祺先生都以为，阿城是想赞美道家。\n但阿城自己说过：“我曾在《棋王》里写到过一个光头老者，满口道禅，捧起人来玄虚得不得了，其实是为遮自己的面子。” \n所以任何从《棋王》里读出道家好的，都被阿城晃过了。王一生是个自己完成自己的质朴人，没有任何主义。这才美好。']"
故事,故事,9.2,"['悲观地说，看完《故事》和写完一个好故事，中间有一万个word文档的距离。', '终于看完了！获益匪浅，被老和尚传了30年功力的感觉……', '认认真真的看完了，花了半年，每章做笔记总结，然后变成了一个麦基吹', '震惊！！！！！我之前的二十几年，确实白活了。解答了我以前苦思冥想却无从下手的几百个问题吧！我已经震惊地说不出话来了。看完之后的那一刻，好像换了一双新的眼睛，嗯，和大脑。', '你无序的创作思维开始重组，自此，你不由分说挑出每根骨头，细究骨骼缝合处奇妙的力学和生物学原理，为何故事行之甚远，你感动或失望的理由何在。作为解构及建构故事的指南书，你终于明白“人性”正是机器人智能化核心难关，你讲故事，就是在纸上造机器人。大受启发，感谢罗伯特·麦基。']"
雨季不再来,雨季不再来,8.7,"['曾经陷落在孤独的自闭年代，那份偏执，认真与敏感，使她苦苦挣扎于内心与外界的搏斗中，每每心灵受伤与幻梦破灭，就想到死的解脱。年轻的时候不知道如何游戏人间，成就自我，生命对她来说是狭窄的暗角。', '因为我现在的年龄和这本书中的三毛很是相似，于是我也似乎在这本书中看到了几个自己。每在这个时候，就是很满足和安慰。以前总以为自己有这样的想法是天真的，或者说是有时觉得自己不入群或是过于偏薄，但在这里我找了一个和我一样的人，感觉她就站在我的身旁，如同一个坚定的支持这我的挚友，这种感觉真好。', '我想我已过了那个敏感得有些神经质的雨季。', '呵，真的是雨季不再来。而读时，还未到花季呢。', '“写喜剧的人往往深尝悲剧。”']"
受戒,受戒,9.2,"['小英子：我给你当老婆，你要不要？要不要，要不要？明子：要！', '估计没有人关注过汪曾祺24岁写的一篇有关李贺的诗歌讨论，那时他的文字眼里绮绝，有着年轻作者独有的飞扬卖弄，而时过境迁，人至花甲，一笔一划都浅得像说书人在与你对谈，一个作者要和自己比有没有进步，才是真的厉害，佩服汪曾祺的小说功力，短篇散文尤其出彩。', '读得心都软化了', '小英子多少成了我的梦中情人。最喜欢的短篇小说——没有之一。', '最后一段对话非常动人。']"
认识电影,认识电影,8.9,"['历时近一年的马拉松式学习和史无前例的超大篇幅豆列笔记终于完成了。豆列见http://movie.douban.com/people/alcudish/doulists?type=create', '当一个人很专注于一个领域时，很多东西不需要系统学习，也会从一点一滴的思考中自己总结出来。', '如果说《电影诗学》是专业版，《电影艺术》是进阶版，那么这本《认识电影》则是入门版；配图和配套解说很耐心仔细，选用大量好莱坞片既失之偏颇，但又具有一定普及意义。', '其实《认识电影》的编写暗含着一个很有趣的潜在脉络，你必须要通过阅读才能体会得到：表面上看，它以平行的元素（如摄影、场面调度、剪辑、表演、意识形态等）依次拼汇而成，实际上它从头至尾是一个从“感觉”到“认知”的过程，开始很注重用感性的主观视角来解释观点，而后便逐渐申明理论性和技术性。', '整个一个“唯美国论”、“唯奥斯卡论”，这让欧洲电影情何以堪？让戛纳、柏林、威尼斯情何以堪？作者一副“美国电影，舍我其谁，其他国家，众星拱月”的嘴脸，令人生厌；总体来说，尚算一本比较全面的电影入门级读物。']"
雷雨,雷雨,8.6,"['实属不该 但脑补了蘩漪和雪姨', '一屋子人都有病，病出于压抑的欲望', '很好地解释了什么是戏剧冲突。人物性格的刻画很丰满。内容放到今天也是很大胆的。', '人真的可以主宰自己的命运？至少从这本书里看，难说。当你努力逃脱命运的泥潭时，恰恰在一步步的走向宿命，命运是人不能控制的神秘力量。所以，人是多么的可怜！', '剧本比剧精彩！曹禺文笔好好啊……']"
从一到无穷大,从一到无穷大,9.1,"['当年就是因为这本书没有选择高中读文科。', '马二推荐的数学类胎教读物，看完发现是数理化生大综合。我要是生个立志当科学家的女儿全怪他，嫁不出去就白送给他儿子！！！', '有些地方没读懂，有些理论已经过时了。但是这本书让我学会了很重要的思考方式，复杂的理论用简单的语言来描绘。非常可惜没有在小时候读到这本书，这本书我会留给我的子女去阅读！', '《三体》外传。除了最后两部分讲生物和宇宙的比较过时外，数学和物理的几个方面特别好。', '都不好意思标记“读过”，最初几章挺好玩，往后翻……直到彻底理解无能。']"
理想国,理想国,8.7,"['一个人，在洞穴外，看到一群束手束脚被关押在洞穴中、只能看到万物的投影而非本质的傻逼，这群傻逼使他感到怜惜；然而，要解救这群傻逼，这个人必须深入洞穴，离开光明，进入傻逼的领地，同他们呼吸一样污浊腐朽的空气，使用同样肮脏下流的言语，若非这样，他便无法解救这些傻逼。他终于下定了决心，决心拯救所有的傻逼。在他进入洞穴之后，还未来得及解救那些傻逼，自己却由于失去了光明，很快也变成了一个傻逼。于是他和那些傻逼快乐地生活在一起，等待着下一个傻逼进入洞穴。', '这一篇果真是无与伦比的精彩，尤其是第七卷跟第十卷，两个寓言都是人类史上最伟大的。柏拉图的理念再一次与佛陀不谋而合，非常像大乘菩萨回向人间。智者都是相通的，人类最高的智慧都是共通的。', '这是一本具有相当危险性的书。能让智者更智，意见者更恶。是时候走出洞穴了。不过只有理性没有诗性也是蛮恐怖的，不能被他洗脑了。理性有善恶，艺术无善恶', '第一次读哲学书读到哭  是这一本', '每次重读倒不一定有新收获，但肯定都像是没读过。']"
水浒传（全二册）,水浒传（全二册）,8.6,"['关于四大名著，我永远找不到我正在看的版本，壮哉我大中华盗版', '倘若我是潘金莲，我也喜欢武松。', '小说其实是反道德的，好汉也常滥杀无辜，等级观念严重。坐头三把交椅的宋江、柴进、卢俊义其实就是黑白两道通吃的地方官员。下一个等级是朝廷叛将，再下是逃跑的公务员、再下才是贩夫走卒，像圣手书生萧让、铁教子乐和之类的文艺工作者，则还在神医安到全、小偷时迁的下面', '如人一生，从年少轻狂，到纵横四海，到盛极而衰，到曲终人散，再到千里坟茔何处话凄凉。', '招安以前好看，说透了人情，给6星；招安以后，庙堂之事一塌糊涂，帝王怎么会单凭口述就相信燕青呢？到底是小说家之言，2星不解释。综合评分4星，顺便吐槽：你那只狗眼看出来里面的人都是农民？宋江？玉麒麟？吴用？还农民起义！起义你妹夫']"
黑客与画家,黑客与画家,8.7,"['单单“书呆子”那篇文章就值得你买下这本书。', '如果有两个选择，尽量选择较难的那个。坐在家里看电视还是出去跑步？出去跑步吧。人们往往出于懒惰的缘故，选择较易的那个选项。在意识深处，你其实知道不懒惰的做法会带来更好的结果，这个方法只是迫使你接受这一点。', '作者试图回答的问题：如何好奇地探索这个世界，做喜欢的事情，并阳光地获取财富？ 作者回答得怎么样：非常棒 评价：创业的书，或讲究细节，比如如何撰写商务计划书；或摆资历，比如我的成功如何复制；或讲大道理，用一个术语串起整本书，你不服还不行，比如长尾比如蓝海比如紫牛；或写小说，比如如何从小秘到跨国公司CEO；或吹牛，比如全中国最穷小伙子如何发财。 有没有一本，心平气和，不讲细节不摆资历不讲大道理不写小说不吹牛的创业书呢？ 有，这就是Paul Graham的文集——《黑客与画家》。\n', '我做笔记和划重点的地方大概占到书的30%。每个段落里忽闪忽闪的思维火花，都在告诉我们什么叫「远见卓识」。在被说服后常常惊讶他是怎么想到那个角度和比喻的。不要被书中大量IT案例阻隔，事实上它适合所有人阅读，让你重新思考要过什么样的生活，或如何尽快过上你想有的生活。', '70％的包装成真理的大言不惭的心灵鸡汤和胡扯＋30％的来自话语权内的有趣的东西。另外关于贝叶斯过滤应用于垃圾邮件的那篇，让人无比想反过滤击败他的过滤系统⋯⋯']"
